"id","sensor","time","data","session","sensor_data","sessionsecond","hedeflenen"
"2005522","o","23/5/2024 12:30:09","21.4","3568","7009","0",
"2005523","temp","23/5/2024 12:30:09","24.99","3568","16379","0",
"2005524","pressure","23/5/2024 12:30:09","0.65","3568","40","0",
"2005525","o","23/5/2024 12:30:10","21.4","3568","7009","1",
"2005526","temp","23/5/2024 12:30:10","25.01","3568","16388","1",
"2005527","pressure","23/5/2024 12:30:10","0.78","3568","48","1",
"2005528","co2","23/5/2024 12:30:10","0","3568","0","1",
"2005529","o","23/5/2024 12:30:11","21.3","3568","6993","2",
"20 055      üü
≥|÷
30","temp","23/5/2024 12:30:11","25.04","3568","16412","2",
"2005531","pressure","23/5/2024 12:30:11","0.65","3568","40","2",
"2005532","co2","23/5/2024 12:30:11","0","3568","0","2",
"2005533","o","23/5/2024 12:30:11","21.4","3568","7009","3",
"2005534","temp","23/5/2024 12:30:11","25.01","3568","16388","3",
"2005535","pressure","23/5/2024 12:30:11","0.65","3568","40","3",
"2005536","co2","23/5/2024 12:30:11","0","3568","0","3",
"2005537","o","23/5/2024 12:30:12","21.3","3568","6993","4",
"2005538","temp","23/5/2024 12:30:12","25.07","3568","16428","4",
"2005539","pressure","23/5/2024 12:30:12","0.65","3568","40","4",
"2005540","co2","23/5/2024 12:30:12","0","3568","0","4",
"2005541","o","23/5/2024 12:30:13","21.4","3568","7009","5",
"2005542","temp","23/5/2024 12:30:13","25.04","3568","16412","5",
"2005543","pressure","23/5/2024 12:30:13","0.78","3568","48","5",
"2005544","co2","23/5/2024 12:30:13","0","3568","0","5",
"2005545","o","23/5/2024 12:30:14","21.3","3568","6993","6",
"2005546","temp","23/5/2024 12:30:14","24.97","3568","16363","6",
"2005547","pressure","23/5/2024 12:30:14","0.65","3568","40" ,"6",
"2005548","co2","23/5/2024 12:30:14","0","3568","0","6",
"2005549","o","23/5/2024 12:30:15","21.3","3568","6985","7",
"2005550","temp","23/5/2024 12:30:15","25.04","3568","16412","7",
"2005551","pressure","23/5/2024 12:30:15","0.65","3568","40","7",
"2005552","co2","23/5/2024 12:30:15","0","3568","0","7",
"2005553","o","23/5/2024 12:30:16","21.3","3568","6985","8",
"2005554","temp","23/5/2024 12:30:16","25.06","3568","16420","8",
"2005555","pressure","23/5/2024 12:30:16","0.65","3568","40","8",
"2005556","co2","23/5/2024 12:30:16","0","3568","0","8",
mn           "2005557","o","23/5/2024 12:30:17","21.3","3568","6985","9",
"2005558","te    mp","23/5/2024 12:30:17","25.01","3568","16388","9",
"2005559","pressure","23/5/2024 12:30:17","0.65","3568","40","9",
"2005560","co2","23/5/2024 12:30:17","0","3568","0","9",
"2005561","o","23/5/2024 12:30:18","21.3","3568","6985","10",
"2005562","temp","23/5/2024 12:30:18","25.01","3568","16388","10",
"2005563","pressure","23/5/2024 12:30:18","0.65","3568","40","10",
"2005564","co2","23/5/2024 12:30:18","0","3568","0","10",
"2005565","o","23/5/2024 12:30:19","21.3","3568","6977","11",
"2005566","temp","23/5/2024 12:30:19","24.98","3568","16371","11",
"2005567","pressure","23/5/2024 12:30:19","0.65","3568","40","11",
"2005568","co2","23/5/2024 12:30:19","0","3568","0","11",
"2005569","o","23/5/2024 12:30:20","21.3","3568","6977","12",
"2005570","temp","23/5/2024 12:30:20","25.06","3568","16420","12",
"2005571","pressure","23/5/2024 12:30:20","0.65","3568","40","12",
"2005572","co2","23/5/2024 12:30:20","0","3568","0","12",
"2005573","o","23/5/2024 12:30:21","21.3","3568","6977","13",
"2005574","temp","23/5/2024 12:30:21","25.07","3568","16428","13",
"2005575","pressure","23/5/2024 12:30:21","0.65","3568","40","13",
"2005576","co2","23/5/2024 12:30:21","0","3568","0","13",
"2005577","o","23/5/2024 12:30:22","21.2","3568","6961","14",
"2005578","temp","23/5/2024 12:30:22","25.04","3568","16412","14",
"2005579","pressure","23/5/2024 12:30:22","0.78","3568","48","14",
"2005580","co2","23/5/2024 12:30:22","0","3568","0","14",
"2005581","o","23/5/2024 12:30:23","21.2","3568","6961","15",
"2005582","temp","23/5/2024 12:30:23","25.01","3568","16388","15",
"2005583","pressure","23/5/2024 12:30:23","0.65","3568","40","15",
"2005584","co2","23/5/2024 12:30:23","0","3568","0","15",
"2005585","o","23/5/2024 12:30:24","21.3","3568","6977","16",
"2005586","temp","23/5/2024 12:30:24","25.07","3568","16428","16",
"2005587","pressure","23/5/2024 12:30:24","0.78","3568","48","16",
"2005588","co2","23/5/2024 12:30:24","0","3568","0","16",
"2005589","o","23/5/2024 12:30:25","21.3","3568","6985","17",
"2005590","temp","23/5/2024 12:30:25","25.06","3568","16420","17",
"2005591","pressure","23/5/2024 12:30:25","0.65","3568","40","17",
"2005592","co2","23/5/2024 12:30:25","0","3568","0","17",
"2005593","o","23/5/2024 12:30:26","21.3","3568","6985","18",
"2005594","temp","23/5/2024 12:30:26","25.04","3568","16412","18",
"2005595","pressure","23/5/2024 12:30:26","0.65","3568","40","18",
"2005596","co2","23/5/2024 12:30:26","0","3568","0","18",
"2005597","o","23/5/2024 12:30:27","21.3","3568","6985","19",
"2005598","temp","23/5/2024 12:30:27","25.09","3568","16444","19",
"2005599","pressure","23/5/2024 12:30:27","0.65","3568","40","19",
"2005600","co2","23/5/2024 12:30:27","0","3568","0","19",
"2005601","o","23/5/2024 12:30:28","21.3","3568","6985","20",
"2005602","temp","23/5/2024 12:30:28","25.04","3568","16412","20",
"2005603","pressure","23/5/2024 12:30:28","0.78","3568","48","20",
"2005604","co2","23/5/2024 12:30:28","0","3568","0","20",
"2005605","o","23/5/2024 12:30:29","21.3","3568","6985","21",
"2005606","temp","23/5/2024 12:30:29","25.04","3568","16412","21",
"2005607","pressure","23/5/2024 12:30:29","0.78","3568","48","21",
"2005608","co2","23/5/2024 12:30:29","0","3568","0","21",
"2005609","o","23/5/2024 12:30:30","21.3","3568","6985","22",
"2005610","temp","23/5/2024 12:30:30","25.04","3568","16412","22",
"2005611","pressure","23/5/2024 12:30:30","0.65","3568","40","22",
"2005612","co2","23/5/2024 12:30:30","0","3568","0","22",
"2005613","o","23/5/2024 12:30:31","21.3","3568","6985","23",
"2005614","temp","23/5/2024 12:30:31","25.01","3568","16388","23",
"2005615","pressure","23/5/2024 12:30:31","0.78","3568","48","23",
"2005616","co2","23/5/2024 12:30:31","0","3568","0","23",
"2005617","o","23/5/2024 12:30:32","21.3","3568","6985","24",
"2005618","temp","23/5/2024 12:30:32","25.04","3568","16412","24",
"2005619","pressure","23/5/2024 12:30:32","0.78","3568","48","24",
"2005620","co2","23/5/2024 12:30:32","0","3568","0","24",
"2005621","o","23/5/2024 12:30:33","21.3","3568","6985","25",
"2005622","temp","23/5/2024 12:30:33","25.01","3568","16388","25",
"2005623","pressure","23/5/2024 12:30:33","0.78","3568","48","25",
"2005624","co2","23/5/2024 12:30:33","0","3568","0","25",
"2005625","o","23/5/2024 12:30:34","21.3","3568","6985","26",
"2005626","temp","23/5/2024 12:30:34","25.01","3568","16388","26",
"2005627","pressure","23/5/2024 12:30:34","0.91","3568","56","26",
"2005628","co2","23/5/2024 12:30:34","0","3568","0","26",
"2005629","o","23/5/2024 12:30:35","21.3","3568","6993","27",
"2005630","temp","23/5/2024 12:30:35","24.99","3568","16379","27",
"2005631","pressure","23/5/2024 12:30:35","0.91","3568","56","27",
"2005632","co2","23/5/2024 12:30:35","0","3568","0","27",
"2005633","o","23/5/2024 12:30:36","21.4","3568","7009","28",
"2005634","temp","23/5/2024 12:30:36","25.06","3568","16420","28",
"2005635","pressure","23/5/2024 12:30:36","0.91","3568","56","28",
"2005636","co2","23/5/2024 12:30:36","0","3568","0","28",
"2005637","o","23/5/2024 12:30:37","21.4","3568","7009","29",
"2005638","temp","23/5/2024 12:30:37","24.98","3568","16371","29",
"2005639","pressure","23/5/2024 12:30:37","0.91","3568","56","29",
"2005640","co2","23/5/2024 12:30:37","0","3568","0","29",
"2005641","o","23/5/2024 12:30:38","21.4","3568","7009","30",
"2005642","temp","23/5/2024 12:30:38","24.99","3568","16379","30",
"2005643","pressure","23/5/2024 12:30:38","1.04","3568","64","30",
"2005644","co2","23/5/2024 12:30:38","0","3568","0","30",
"2005645","o","23/5/2024 12:30:39","21.3","3568","6993","31",
"2005646","temp","23/5/2024 12:30:39","24.98","3568","16371","31",
"2005647","pressure","23/5/2024 12:30:39","1.44","3568","88","31",
"2005648","co2","23/5/2024 12:30:39","0","3568","0","31",
"2005649","o","23/5/2024 12:30:40","21.3","3568","6993","32",
"2005650","temp","23/5/2024 12:30:40","24.94","3568","16347","32",
"2005651","pressure","23/5/2024 12:30:40","1.44","3568","88","32",
"2005652","co2","23/5/2024 12:30:40","0","3568","0","32",
"2005653","o","23/5/2024 12:30:41","21.3","3568","6985","33",
"2005654","temp","23/5/2024 12:30:41","24.98","3568","16371","33",
"2005655","pressure","23/5/2024 12:30:41","1.04","3568","64","33",
"2005656","co2","23/5/2024 12:30:41","0","3568","0","33",
"2005657","o","23/5/2024 12:30:42","21.3","3568","6993","34",
"2005658","temp","23/5/2024 12:30:42","24.91","3568","16323","34",
"2005659","pressure","23/5/2024 12:30:42","1.44","3568","88","34",
"2005660","co2","23/5/2024 12:30:42","0","3568","0","34",
"2005661","o","23/5/2024 12:30:43","21.3","3568","6977","35",
"2005662","temp","23/5/2024 12:30:43","24.97","3568","16363","35",
"2005663","pressure","23/5/2024 12:30:43","1.44","3568","88","35",
"2005664","co2","23/5/2024 12:30:43","0","3568","0","35",
"2005665","o","23/5/2024 12:30:44","21.3","3568","6977","36",
"2005666","temp","23/5/2024 12:30:44","24.91","3568","16323","36",
"2005667","pressure","23/5/2024 12:30:44","1.44","3568","88","36",
"2005668","co2","23/5/2024 12:30:44","0","3568","0","36",
"2005669","o","23/5/2024 12:30:45","21.3","3568","6977","37",
"2005670","temp","23/5/2024 12:30:45","24.93","3568","16339","37",
"2005671","pressure","23/5/2024 12:30:45","1.44","3568","88","37",
"2005672","co2","23/5/2024 12:30:45","0","3568","0","37",
"2005673","o","23/5/2024 12:30:46","21.2","3568","6961","38",
"2005674","temp","23/5/2024 12:30:46","24.94","3568","16347","38",
"2005675","pressure","23/5/2024 12:30:46","1.44","3568","88","38",
"2005676","co2","23/5/2024 12:30:46","0","3568","0","38",
"2005677","o","23/5/2024 12:30:47","21.3","3568","6977","39",
"2005678","temp","23/5/2024 12:30:47","24.91","3568","16323","39",
"2005679","pressure","23/5/2024 12:30:47","1.44","3568","88","39",
